date;event;note;type;Event ID
21 OCT 1805;Schlacht von Trafalgar;In der Seeschlacht am südspanischen Kap Trafalgar wurden die Franzosen und Spanier von den Briten vernichtend geschlagen. Der Traum Napoleons, Großbritannien zu überfallen, war damit ausgeträumt. Auf französischer Seite kämpften auch viele Schweizer.;Historic event: Switzerland;f1046fa6-36e4-439e-bd7f-f9dec9d10f2b
02 SEP 1806;Bergsturz von Goldau;Der Bergsturz von Goldau tötet 457 Menschen und 323 Stück Vieh. Er zerstört 111 Wohnhäuser, 220 Ställe und Scheunen sowie zwei Kirchen und zwei Kapellen. Die Dörfer Goldau und Röthen sind verschwunden und der Lauerzersee in der Fläche um den siebten Teil kleiner geworden.;Historic event: Switzerland;bee9fbaa-8c73-49aa-a9ea-ff862e056fec
FROM 26 NOV 1812 TO 28 NOV 1812;Schlacht an der Beresina;Diese letzte Schlacht von Napoleons Russlandfeldzug gleicht einem Desasters. Die Grande Armée verliert 30'000 der 75'000 Soldaten auf der Flucht über die Beresina. Etwa 1'000 Schweizer verlieren ihr Leben.;Historic event: Switzerland;14c15a71-9742-4035-addb-36f7241b56cd
FROM 18 SEP 1814 TO 09 JUN 1815;Wiener Kongress;Der Kongress ordnet nach der Niederlage Napoleon Bonapartes Europa neu. Die Schweiz bleibt bestehen, ohne das Veltlin, Chiavenna, Bormio und Mulhouse.;Historic event: Switzerland;9ea6212e-cb77-4641-a6ff-36aac0d18c36
07 AUG 1815;Bundesvertrag von 1815;In Zürich wird der Fünfzehnerbund begründet, ein loses Bündnis souveränder Staaten (Kantone).;Historic event: Switzerland;c59239f1-9998-42b1-9434-559793389114
FORM 13 SEP 1515 TO 14 SEP 1515;Schlacht bei Marigniano;In der Schlacht um das Herzogtum Milano unterliegen die Eidgenossen dem Königreich Frankreich. De facto beendet diese Niederlage die Eidg. Expansionspolitik.;Historic event: Switzerland;35c9eb44-1b27-4a3b-9eb2-08e189f086c1
01 AUG 1819;erste Militärschule der Schweiz;In Thun wird die erste Militärschule der Schweiz eröffnet.;Historic event: Switzerland;09f135f1-01f3-4a7f-b136-e93304bec4bf
02 MAR 1825;Lawinenunglück in Valendas GR;Die Lawine am Dorfbärg in Valendas reisst fünf Männer in den Tod.;Historic event: Switzerland;9a2378a4-d1c4-4614-819c-4974096a811d
17 AUG 1835;Einführung des metrischen Systems in der Schweiz;Die Schweiz führt das metrische System als Referenzsystem ein.;Historic event: Switzerland;3701c92e-4a78-4286-aaee-51e065014503
11 JAN 1841;Gefecht bei Villmergen;Regierungstruppen marschieren ins Freiamt ein und liefern sich ein Gefecht mit den Aufständischen. Zwei Soldaten und sieben Aufständische fallen.;Historic event: Switzerland;414ab34f-8395-4388-adc1-a0e8004aa0ee
FROM 30 MAR 1845 TO 31 MAR 1845;Gefecht bei Malters;Militärische Auseinandersetzung zwischen Schweizer Regierungstruppen und Freischärlern während des Zweiten Freischarenzugs.;Historic event: Switzerland;a59e6f36-4ef0-448d-b0ba-78578a5d7703
09 AUG 1847;Eröffnung der ersten Eisenbahnstrecke der Schweiz;Die erste gesamthaft in der Schweiz liegende Eisenbahnstrecke wird zwischen Zürich und Baden eröffnet. Der Volksmund tauft sie «Spanisch-Brötli-Bahn».;Historic event: Switzerland;856b6573-d5fb-4d51-96d4-f57b3027d7a9
FROM 03 NOV 1847 TO 29 NOV 1847;Sonderbundkrieg;"Der Bürgerkrieg in der Schweiz war die letzte militärische Auseinandersetzung auf Schweizer Boden. Die Kapitulation des Kantons Wallis beendete den Krieg, der 150 Menschen das Leben kostete; siehe [fam.jehli.ch pdf](http://fam.jehli.ch/joomla/images/ab/AB001.pdf )";Historic event: Switzerland;39be8787-823c-48f1-8cb1-0ccf91e2cc06
12 SEP 1848;Bundesverfassung von 1848;Die erste Bundesverfassung der Schweizerischen Eidgenossenschaft tritt in Kraft.;Historic event: Switzerland;a55e79d8-331f-4ebe-b4a6-d5f83037605f
16 NOV 1848;Wahl des ersten Bundesrats;Die vereinigte Bundesversammlung wählt den ersten Bundesrat.;Historic event: Switzerland;a4ea66df-0540-4c3f-be79-e93689aa5f45
FROM 16 NOV 1848 TO 31 DEC 1849;Erster Bundespräsident;"Jonas Furrer (1805-1861) ist der erste Bundespräsident der Schweiz; siehe [wikipedia {{wikipedia}}](https://{{wikipedia}}.wikipedia.org/wiki/Jonas_Furrer ).";Historic event: Switzerland;32e2fa68-f8bb-46af-b477-a88018637812
01 JAN 1852;Schweizer Franken;Das neue schweizerische Münzsystem tritt in Kraft.;Historic event: Switzerland;e1d1bbec-80b2-43a9-9e10-ca447c6e5958
15 OCT 1855;Eröffnung der ETH Zürich;In Zürich wird das Eidgenössische Polytechnikum eröffnet.;Historic event: Switzerland;8581e77e-c69d-45ac-8003-8a9ec263dd62
FROM 12 APR 1861 TO 23 JUN 1865;Sezessionskrieg;Der amerikanische Bürgerkrieg endete mit dem Sieg der Nordstaaten. Er kostete bis zu 750'000 Menschenleben. Rund 6'000 Schweizer kämpften auf der Seite der Union, eine unbekannte Zahl auf der Seite der Konföderierten.;Historic event: Switzerland;bb1dfff9-e5ee-43f1-8402-cb346e5ed1c2
FROM 10 MAY 1861 TO 11 MAY 1861;Brand von Glarus;"Zwei Drittel des Orts Glarus werden beim Brand in der Nacht auf den 11. Mai zerstört; siehe [altglarus.ch](http://www.altglarus.ch )";Historic event: Switzerland;de23bedc-5ad0-4bd0-9a7a-406289c2ccb1
22 MAY 1864;Glarner Landsgemeinde erlässt Fabrikgesetz;Die Glarner Landsgemeinde stimmt dem «Gesetz über die Fabrikpolizei» zu, welche die Tagshöchstarbeitszeit auf 12 Stunden festsetzt, Nachtarbeit und Arbeit Schulpflichtiger verbietet sowie einen minimalen Wöchnerinnenschutz einführt.;Historic event: Switzerland;b1db08bf-e3bd-4e29-bb0d-95edc27d71ef
22 AUG 1864;erste Genfer Konvention;Im Genfer Stadthaus unterzeichnen zwölf Staaten die Konvention «betreffend die Linderung des Loses der im Felddienst verwundeten Militärpersonen»;Historic event: Switzerland;d1ac1be0-32d6-4ea4-b21a-57e7967cbaaa
FROM 01 FEB 1871 TO 03 FEB 1871;Übertritt der Bourbaki-Armee;Die französische, 87'000 Mann starke Bourbaki-Armee wird entwaffnet und in der Schweiz bis März 1871 interniert. Die Schweizer Truppen stehen unter dem Kommando von General Hans Herzog (1819–1894).;Historic event: Switzerland;df8ab329-e73b-451b-a7db-c3d749fd4bf2
9 MAR 1874;Grubenunglück im Landesplattenberg Engi GL;Als sich eine Grubendecke löst, finden drei Männer den Tod. Es ist der einzige Unfall mit Todesfolge im Landesplattenberg.;Historic event: Switzerland;6d47b9dd-1ee1-4ad6-a242-a99f002b0c9d
11 SEP 1881;Bergsturz in Elm;83 Gebäude werden zerstört und 115 Personen verlieren ihr Leben;Historic event: Switzerland;c4b65003-0b66-40a9-9169-c652245a5300
14 JUN 1891;Eisenbahnunfall von Münchenstein;Beim Einsturz einer Eisenbahnbrücke über die Birs sterben 73 Passagiere und 171 werden verletzt. Ein Soldat starb während der Aufräumarbeiten. In der Folge wurden erste Baunormen geschaffen. Die Brücke der Jura-Simplon-Bahn war vom Büro Alexandre Gustave Eiffel geplant und gebaut worden.;Historic event: Switzerland;85a48b28-c995-46e6-a6f0-afbcfea8121b
17 AUG 1900;Autofahrverbot;Die Graubündner Regierung erlässt ein Verbot für das Fahren von Automobilen auf sämtlichen Straßen des Kantons. Das Fahrverbot wird 1925 aufgehoben.;Historic event: Switzerland;e95a5cbd-83e6-4385-9e77-485b394a7d9c
FROM 28 JUL 1914 TO 11 NOV 1918;Erster Weltkrieg;Mit der Kriegserklärung Österreich-Ungarns an Serbien beginnt der Erste Weltkrieg. Mit dem Waffenstillstand von Compiègne endet er. Er fordert unter den Soldaten sind fast 10 Mio. Todesopfer und etwa 20 Mio. Verwundete.;Historic event: Switzerland;f041a28c-06e3-4978-a416-c38d652583d0
FROM 03 AUG 1914 TO 11 DEC 1918;Ulrich Wille ist Schweizer General;Ulrich Wille (1848–1925) wird durch die Bundesversammlung zum General ernannt.;Historic event: Switzerland;f4983af8-f856-47a9-b247-0be785142ffb
11 DEC 1918;Rätoromanisch wird 4. Landessprache;Rund 92% der Schweizer Stimmbürger nehmen die Abstimmungsvorlage an.;Historic event: Switzerland;92b3901d-bd36-42db-989a-2872fa791388
FROM 17 JUL 1936 TO 01 APR 1939;Spanischer Bürgerkrieg;Der Krieg endet mit dem Sieg der Putschisten und führt zur Diktatur Francos. Rund 800 Schweizer kämpften auf der Seite der Republik, etwa drei Dutzend auf der Seite der Putschisten.;Historic event: Switzerland;4fc23810-4bab-4954-89b5-4aa0d64430a8
FROM 30 AUG 1939 TO 20 AUG 1945;Guisan wird Schweizer General;Oberstkorpskommandant Henri Guisan (1874–1960) wird durch die Bundesversammlung zum General ernannt. Er wird der Bundesversammlung 1947 einen 270-seitigen Bericht über die Zeit des Aktivdienstes übergeben.;Historic event: Switzerland;937b576c-b47f-47b9-8741-af16f5bec4e8
FROM 01 SEP 1939 TO 08 MAY 1945;Zweiter Weltkrieg;"Der Zweite Weltkrieg beginnt mit dem deutschen Überfall auf Polen und endet mit der bedingungslosen Kapitulation der deutschen Wehrmacht — schätzungsweise fordert er mit Einbezug der Opfer von Verbrechen und Kriegsfolgen bis zu 80 Mio. Opfer; siehe auch [Kriegsbericht bei fam.jehli.ch](http://fam.jehli.ch/joomla/images/ab/AB002.pdf ).";Historic event: Switzerland;bf5dec80-7b26-42f2-b6a1-1a37a8f0ca41
